,index,set,accuracy,f1_macro,recall_macro,precision_macro,f1_NONE,precision_NONE,recall_NONE,f1_FAVOR,precision_FAVOR,recall_FAVOR,f1_AGAINST,precision_AGAINST,recall_AGAINST,num_all,num_pos,num_neg,num_neutral,num_pos_pred,num_neg_pred,num_neutral_pred
0,0,train_raw,0.8271,0.809,0.8511,0.7932,0.7939,0.7879,0.8,0.7596,0.632,0.9518,0.8735,0.9596,0.8015,480,83,267,130,125,223,132
1,1,vali_raw,0.6917,0.6758,0.7179,0.6635,0.7324,0.6667,0.8125,0.5769,0.4839,0.7143,0.7179,0.84,0.6269,120,21,67,32,31,50,39
2,2,test_raw,0.5018,0.4748,0.5705,0.4966,0.4196,0.3061,0.6667,0.4275,0.3294,0.6087,0.5775,0.8542,0.4362,279,46,188,45,85,96,98
3,3,train_upsampled,0.8876,0.8869,0.8876,0.8931,0.8942,0.886,0.9026,0.8967,0.8421,0.9588,0.8699,0.9511,0.8015,801,267,267,267,304,225,272
4,4,vali_upsampled,0.7363,0.7341,0.7363,0.7348,0.75,0.7391,0.7612,0.7857,0.7534,0.8209,0.6667,0.7119,0.6269,201,67,67,67,73,59,69
5,5,test_upsampled,0.5816,0.5766,0.5816,0.5885,0.6158,0.5584,0.6862,0.5985,0.5764,0.6223,0.5157,0.6308,0.4362,564,188,188,188,203,130,231
