,index,set,accuracy,f1_macro,recall_macro,precision_macro,f1_NONE,precision_NONE,recall_NONE,f1_FAVOR,precision_FAVOR,recall_FAVOR,f1_AGAINST,precision_AGAINST,recall_AGAINST,num_all,num_pos,num_neg,num_neutral,num_pos_pred,num_neg_pred,num_neutral_pred
0,0,train_raw,0.7979,0.7865,0.8402,0.7724,0.8134,0.7899,0.8385,0.7215,0.5809,0.9518,0.8245,0.9466,0.7303,480,83,267,130,136,206,138
1,1,vali_raw,0.6583,0.6358,0.6762,0.64,0.6452,0.6667,0.625,0.5333,0.4103,0.7619,0.7288,0.8431,0.6418,120,21,67,32,39,51,30
2,2,test_raw,0.5448,0.52,0.6195,0.5226,0.4848,0.3678,0.7111,0.4697,0.3605,0.6739,0.6054,0.8396,0.4734,279,46,188,45,86,106,87
3,3,train_upsampled,0.8764,0.8736,0.8764,0.8828,0.9081,0.8917,0.9251,0.895,0.828,0.9738,0.8176,0.9286,0.7303,801,267,267,267,314,210,277
4,4,vali_upsampled,0.7065,0.705,0.7065,0.7141,0.704,0.7586,0.6567,0.7285,0.6548,0.8209,0.6825,0.7288,0.6418,201,67,67,67,84,59,58
5,5,test_upsampled,0.633,0.6282,0.633,0.6292,0.6809,0.6809,0.6809,0.6863,0.6364,0.7447,0.5174,0.5705,0.4734,564,188,188,188,220,156,188
