,index,set,accuracy,f1_macro,recall_macro,precision_macro,f1_NONE,precision_NONE,recall_NONE,f1_FAVOR,precision_FAVOR,recall_FAVOR,f1_AGAINST,precision_AGAINST,recall_AGAINST,num_all,num_pos,num_neg,num_neutral,num_pos_pred,num_neg_pred,num_neutral_pred
0,0,train_raw,0.8083,0.7848,0.8238,0.7729,0.7559,0.7742,0.7385,0.7299,0.6016,0.9277,0.8687,0.943,0.8052,480,83,267,130,128,228,124
1,1,vali_raw,0.65,0.6327,0.6712,0.6291,0.6769,0.6667,0.6875,0.5263,0.4167,0.7143,0.6949,0.8039,0.6119,120,21,67,32,36,51,33
2,2,test_raw,0.4803,0.4549,0.5484,0.4785,0.406,0.3068,0.6,0.4056,0.299,0.6304,0.5532,0.8298,0.4149,279,46,188,45,97,94,88
3,3,train_upsampled,0.8789,0.8785,0.8789,0.8847,0.8764,0.8764,0.8764,0.8885,0.8306,0.9551,0.8704,0.9471,0.8052,801,267,267,267,307,227,267
4,4,vali_upsampled,0.6866,0.6836,0.6866,0.689,0.672,0.7241,0.6269,0.7383,0.6707,0.8209,0.6406,0.6721,0.6119,201,67,67,67,82,61,58
5,5,test_upsampled,0.5514,0.5468,0.5514,0.555,0.5729,0.5517,0.5957,0.5845,0.5354,0.6436,0.483,0.5778,0.4149,564,188,188,188,226,135,203
