,index,set,accuracy,f1_macro,recall_macro,precision_macro,f1_NONE,precision_NONE,recall_NONE,f1_FAVOR,precision_FAVOR,recall_FAVOR,f1_AGAINST,precision_AGAINST,recall_AGAINST,num_all,num_pos,num_neg,num_neutral,num_pos_pred,num_neg_pred,num_neutral_pred
0,0,train_raw,0.9312,0.9239,0.9439,0.9084,0.9294,0.8993,0.9615,0.8989,0.8421,0.9639,0.9435,0.9837,0.9064,480,83,267,130,95,246,139
1,1,vali_raw,0.7083,0.695,0.7387,0.6864,0.7385,0.7273,0.75,0.6071,0.4857,0.8095,0.7395,0.8462,0.6567,120,21,67,32,35,52,33
2,2,test_raw,0.595,0.5616,0.6501,0.5524,0.544,0.425,0.7556,0.4762,0.375,0.6522,0.6645,0.8571,0.5426,279,46,188,45,80,119,80
3,3,train_upsampled,0.965,0.9647,0.965,0.9666,0.9745,0.9502,1.0,0.9688,0.9496,0.9888,0.9509,1.0,0.9064,801,267,267,267,278,242,281
4,4,vali_upsampled,0.7313,0.7303,0.7313,0.7332,0.75,0.7869,0.7164,0.7639,0.7143,0.8209,0.6769,0.6984,0.6567,201,67,67,67,77,63,61
5,5,test_upsampled,0.6738,0.6705,0.6738,0.673,0.7366,0.7094,0.766,0.6785,0.6473,0.7128,0.5965,0.6623,0.5426,564,188,188,188,207,154,203
