dataset,model_type,task,version,set,f1_macro,f1_NONE,f1_FAVOR,f1_AGAINST
SEM_EVAL,single_domain_baseline,,bert-base-uncased,train_raw,0.809,0.7939,0.7596,0.8735
SEM_EVAL,single_domain_baseline,,bert-base-uncased,vali_raw,0.6758,0.7324,0.5769,0.7179
SEM_EVAL,single_domain_baseline,,bert-base-uncased,test_raw,0.4748,0.4196,0.4275,0.5775
SEM_EVAL,single_domain_baseline,,kornosk_polibertweet_mlm,train_raw,0.9239,0.9294,0.8989,0.9435
SEM_EVAL,single_domain_baseline,,kornosk_polibertweet_mlm,vali_raw,0.695,0.7385,0.6071,0.7395
SEM_EVAL,single_domain_baseline,,kornosk_polibertweet_mlm,test_raw,0.5616,0.544,0.4762,0.6645
SEM_EVAL,single_domain_baseline,,vinai_bertweet_base,train_raw,0.8956,0.9373,0.8367,0.9128
SEM_EVAL,single_domain_baseline,,vinai_bertweet_base,vali_raw,0.6829,0.6885,0.6102,0.75
SEM_EVAL,single_domain_baseline,,vinai_bertweet_base,test_raw,0.5797,0.5323,0.5401,0.6667
