,index,set,accuracy,f1_macro,recall_macro,precision_macro,f1_NONE,precision_NONE,recall_NONE,f1_FAVOR,precision_FAVOR,recall_FAVOR,f1_AGAINST,precision_AGAINST,recall_AGAINST,num_all,num_pos,num_neg,num_neutral,num_pos_pred,num_neg_pred,num_neutral_pred
0,0,train_raw,0.7646,0.756,0.8277,0.7516,0.8316,0.7516,0.9308,0.6638,0.5205,0.9157,0.7727,0.9827,0.6367,480,83,267,130,146,173,161
1,1,vali_raw,0.6083,0.6116,0.7008,0.6239,0.7123,0.6341,0.8125,0.5538,0.4091,0.8571,0.5686,0.8286,0.4328,120,21,67,32,44,35,41
2,2,test_raw,0.4875,0.4904,0.6573,0.5414,0.5109,0.3804,0.7778,0.4819,0.3333,0.8696,0.4784,0.9104,0.3245,279,46,188,45,120,67,92
3,3,train_upsampled,0.8502,0.844,0.8502,0.8678,0.9069,0.8543,0.9663,0.8576,0.7833,0.9476,0.7675,0.9659,0.6367,801,267,267,267,323,176,302
4,4,vali_upsampled,0.7114,0.6961,0.7114,0.7155,0.7801,0.7432,0.8209,0.7662,0.6782,0.8806,0.5421,0.725,0.4328,201,67,67,67,87,40,74
5,5,test_upsampled,0.6631,0.6372,0.6631,0.6844,0.7337,0.6952,0.7766,0.7261,0.614,0.8883,0.4519,0.7439,0.3245,564,188,188,188,272,82,210
