,index,set,accuracy,f1_macro,recall_macro,precision_macro,f1_NONE,precision_NONE,recall_NONE,f1_FAVOR,precision_FAVOR,recall_FAVOR,f1_AGAINST,precision_AGAINST,recall_AGAINST,num_all,num_pos,num_neg,num_neutral,num_pos_pred,num_neg_pred,num_neutral_pred
0,0,train_raw,0.9042,0.8956,0.9359,0.874,0.9373,0.9007,0.9769,0.8367,0.7257,0.988,0.9128,0.9956,0.8427,480,83,267,130,113,226,141
1,1,vali_raw,0.7,0.6829,0.7283,0.6823,0.6885,0.7241,0.6562,0.6102,0.4737,0.8571,0.75,0.8491,0.6716,120,21,67,32,38,53,29
2,2,test_raw,0.6057,0.5797,0.6881,0.5775,0.5323,0.4177,0.7333,0.5401,0.4066,0.8043,0.6667,0.9083,0.5266,279,46,188,45,91,109,79
3,3,train_upsampled,0.9463,0.9452,0.9463,0.9506,0.9745,0.9502,1.0,0.9466,0.9017,0.9963,0.9146,1.0,0.8427,801,267,267,267,295,225,281
4,4,vali_upsampled,0.7214,0.7182,0.7214,0.7266,0.6942,0.7778,0.6269,0.7733,0.6988,0.8657,0.687,0.7031,0.6716,201,67,67,67,83,64,54
5,5,test_upsampled,0.6968,0.6915,0.6968,0.7056,0.7316,0.724,0.7394,0.726,0.6485,0.8245,0.6168,0.7444,0.5266,564,188,188,188,239,133,192
